color;cathegory;amazon;title;abbr;filename;description
DD344C;Front-End-Web-Mobile;AWS;AppSync;;AppSync;A GraphQL API service that allows applications to retrieve only the necessary data from AWS data sources like DynamoDB and Lambda.
DD344C;Front-End-Web-Mobile;AWS;Device Farm;;Device-Farm;A testing service that allows developers to test mobile apps on real devices hosted in the AWS cloud.
7AA116;Internet-of-Things;AWS;IoT Core;;IoT-Core;A managed cloud platform that connects IoT devices securely and allows them to send data to AWS for analytics and machine learning.
7AA116;Internet-of-Things;AWS;IoT Greengrass;;IoT-Greengrass;An edge computing service that allows devices to run AWS Lambda functions, machine learning models, and sync data locally without continuous cloud connectivity.
01A88D;Machine-Learning;Amazon;Comprehend;;Comprehend;A natural language processing (NLP) service that uses AI to analyze text for sentiment, key phrases, and topic detection.
01A88D;Machine-Learning;Amazon;Kendra;;Kendra;An AI-powered search service that improves information retrieval across documents and databases.
01A88D;Machine-Learning;Amazon;Lex;;Lex;A managed chatbot service that uses the same deep learning technology as Alexa to build conversational interfaces.
01A88D;Machine-Learning;Amazon;Polly;;Polly;A text-to-speech service that converts written text into lifelike speech, supporting multiple languages and voices.
01A88D;Machine-Learning;Amazon;Rekognition;;Rekognition;A computer vision service that detects objects, faces, text, and inappropriate content in images and videos.
01A88D;Machine-Learning;Amazon;SageMaker;;SageMaker;A fully managed service that allows developers to build, train, and deploy machine learning models at scale.
01A88D;Machine-Learning;Amazon;Textract;;Textract;An AI service that automatically extracts text, handwriting, and structured data from documents, such as invoices and forms.
01A88D;Machine-Learning;Amazon;Transcribe;;Transcribe;A speech-to-text service that automatically converts spoken words from audio files into text with timestamps.
01A88D;Machine-Learning;Amazon;Translate;;Translate;A real-time language translation service that supports automatic detection and translation between multiple languages.
E7157B;Management-and-Governance;AWS;Auto Scaling;;Auto-Scaling;A service that automatically adjusts compute resources based on demand, ensuring cost efficiency and performance.
E7157B;Management-and-Governance;AWS;CloudFormation;;CloudFormation;An infrastructure-as-code (IaC) service that provisions AWS resources using declarative templates.
E7157B;Management-and-Governance;AWS;CloudTrail;;CloudTrail;A logging service that tracks API activity and AWS account changes for auditing and security analysis.
E7157B;Management-and-Governance;Amazon;CloudWatch;;CloudWatch;A monitoring and observability service that collects and visualizes logs, metrics, and alerts for AWS resources.
E7157B;Management-and-Governance;AWS;Compute Optimizer;;Compute-Optimizer;A service that analyzes and recommends optimizations for compute resources like EC2, Lambda, and ECS.
E7157B;Management-and-Governance;AWS;Config;;Config;A service that tracks AWS resource configurations and compliance over time, helping with security audits.
E7157B;Management-and-Governance;AWS;Control Tower;;Control-Tower;Automates multi-account governance following AWS best practices, simplifying large-scale deployments.
E7157B;Management-and-Governance;AWS;Health Dashboard;;Personal-Health-Dashboard;Provides real-time health status of AWS services and personalized impact notifications for your account.
E7157B;Management-and-Governance;AWS;Launch Wizard;;Launch-Wizard;Simplifies deployment of enterprise applications such as SAP and Microsoft SQL Server on AWS.
E7157B;Management-and-Governance;AWS;License Manager;;License-Manager;Helps organizations track, manage, and enforce software licensing policies to prevent overuse or compliance issues.
E7157B;Management-and-Governance;AWS;Management Console;;Management-Console;A web-based interface for accessing and managing AWS services.
E7157B;Management-and-Governance;AWS;Organizations;;Organizations;A service that enables centralized management of multiple AWS accounts, enforcing policies and consolidated billing.
E7157B;Management-and-Governance;AWS;Resource Groups and Tag Editor;;Resource-Groups-and-Tag-Editor;Helps organize and manage AWS resources using tags, simplifying cost allocation and monitoring.
E7157B;Management-and-Governance;AWS;Service Catalog;;Service-Catalog;Allows businesses to create and manage approved IT service portfolios, ensuring compliance and consistency.
E7157B;Management-and-Governance;AWS;Systems Manager;;Systems-Manager;A suite of tools for automating operations, managing infrastructure, and troubleshooting AWS resources.
E7157B;Management-and-Governance;AWS;Trusted Advisor;;Trusted-Advisor;Provides real-time recommendations for security, performance, cost optimization, and best practices.
E7157B;Management-and-Governance;AWS;Well-Architected Tool;;Well-Architected-Tool;Guides businesses in designing secure, high-performing, and cost-efficient cloud architectures.
01A88D;Migration-and-Transfer;AWS;Application Discovery Service;;Application-Discovery-Service;Gathers data on on-premises workloads to plan cloud migrations.
01A88D;Migration-and-Transfer;AWS;Application Migration Service;;Application-Migration-Service;Automates the lift-and-shift migration of applications to AWS with minimal downtime.
01A88D;Migration-and-Transfer;AWS;Database Migration Service;DMS;Database-Migration-Service;Moves databases to AWS with near-zero downtime, supporting homogeneous (same DB engine) and heterogeneous (different DB engines migrations.
01A88D;Migration-and-Transfer;AWS;Migration Hub;;Migration-Hub;Centralized tool to track, monitor, and manage application migrations across AWS services.
01A88D;Migration-and-Transfer;AWS;Schema Conversion Tool;SCT;Schema-Conversion-Tool;Converts database schemas when moving between different database engines (e.g., Oracle → Aurora).
01A88D;Migration-and-Transfer;AWS;Snow Family;;Snow-Family;Includes AWS Snowcone, Snowball, and Snowmobile for transferring large volumes of data physically when network transfer isn't feasible.
01A88D;Migration-and-Transfer;AWS;Transfer Family;;Transfer-Family;Securely transfers files via SFTP, FTPS, and FTP to and from Amazon S3 or EFS.
8C4FFF;Networking-and-Content-Delivery;Amazon;API Gateway;;API-Gateway;Fully managed service for creating, deploying, and managing REST, WebSocket, and HTTP APIs.
8C4FFF;Networking-and-Content-Delivery;Amazon;CloudFront;;CloudFront;A Content Delivery Network (CDN) that speeds up website access by caching content at AWS edge locations.
8C4FFF;Networking-and-Content-Delivery;AWS;Direct Connect;;Direct-Connect;Establishes a private, dedicated connection from on-premises data centers to AWS for higher performance and security.
8C4FFF;Networking-and-Content-Delivery;AWS;Global Accelerator;;Global-Accelerator;Improves application availability and performance by routing traffic through AWS's global network rather than the public internet.
8C4FFF;Networking-and-Content-Delivery;Amazon;Route 53;;Route-53;A scalable domain name system (DNS) that routes users to AWS services and other websites efficiently.
8C4FFF;Networking-and-Content-Delivery;Amazon;Virtual Private Cloud;VPC;Virtual-Private-Cloud;Allows users to create isolated private networks within AWS with custom IP addressing and security.
8C4FFF;Networking-and-Content-Delivery;AWS;VPN;;VPN;Provides secure connectivity between on-premises networks and AWS via Site-to-Site VPN or Client VPN.
DD344C;Security-Identity-Compliance;AWS;Artifact;;Artifact;Provides access to AWS compliance reports and security documents (SOC, ISO, PCI, etc.).
DD344C;Security-Identity-Compliance;AWS;Audit Manager;;Audit-Manager;Automates compliance audits by collecting AWS usage data and mapping it to audit standards.
DD344C;Security-Identity-Compliance;AWS;Certificate Manager;ACM;Certificate-Manager;Simplifies the provisioning and management of SSL/TLS certificates for secure communications.
DD344C;Security-Identity-Compliance;AWS;CloudHSM;;CloudHSM;A managed hardware security module (HSM) for generating and managing encryption keys.
DD344C;Security-Identity-Compliance;Amazon;Cognito;;Cognito;Provides user authentication, authorization, and user management for web and mobile apps.
DD344C;Security-Identity-Compliance;Amazon;Detective;;Detective;Helps investigate and analyze potential security threats using machine learning and data visualization.
DD344C;Security-Identity-Compliance;AWS;Directory Service;;Directory-Service;Provides Microsoft Active Directory (AD) integration for managing users and permissions in AWS.
DD344C;Security-Identity-Compliance;AWS;Firewall Manager;;Firewall-Manager;Centralized management of AWS WAF, AWS Shield, and network firewalls across multiple accounts.
DD344C;Security-Identity-Compliance;Amazon;GuardDuty;;GuardDuty;A threat detection service that continuously monitors AWS accounts for malicious activity.
DD344C;Security-Identity-Compliance;AWS;Identity and Access Management;IAM;Identity-and-Access-Management;Manages user roles, permissions, and access controls for AWS resources.
DD344C;Security-Identity-Compliance;AWS;IAM Identity Center;;IAM-Identity-Center;Provides centralized single sign-on (SSO) access to AWS accounts and applications.
DD344C;Security-Identity-Compliance;Amazon;Inspector;;Inspector;Automated security assessments to detect vulnerabilities and compliance risks in EC2 and container workloads.
DD344C;Security-Identity-Compliance;AWS;Key Management Service;KMS;Key-Management-Service;Securely creates, manages, and controls cryptographic keys for AWS services.
DD344C;Security-Identity-Compliance;Amazon;Macie;;Macie;Uses machine learning to detect and protect sensitive data (e.g., PII) stored in Amazon S3.
DD344C;Security-Identity-Compliance;AWS;Network Firewall;;Network-Firewall;A stateful, managed firewall service for inspecting and filtering VPC network traffic.
DD344C;Security-Identity-Compliance;AWS;Resource Access Manager;RAM;Resource-Access-Manager;Enables organizations to share AWS resources securely across accounts.
DD344C;Security-Identity-Compliance;AWS;Secrets Manager;;Secrets-Manager;Securely stores and rotates database credentials, API keys, and other secrets.
DD344C;Security-Identity-Compliance;AWS;Security Hub;;Security-Hub;Aggregates security findings from AWS services and third-party tools to provide compliance insights.
DD344C;Security-Identity-Compliance;AWS;Shield;;Shield;A DDoS protection service that safeguards AWS applications from large-scale attacks.
DD344C;Security-Identity-Compliance;AWS;Web Application Firewall;WAF;WAF;Protects web applications from common web exploits like SQL injection and cross-site scripting (XSS).
8C4FFF;Compute;AWS;Fargate;;Fargate;A serverless compute engine for containers, running workloads without managing EC2 instances.
8C4FFF;Compute;AWS;Lambda;;Lambda;Executes event-driven, serverless functions that automatically scale with demand.
7AA116;Storage;AWS;Backup;;Backup;Automates backup management across AWS services like EBS, RDS, DynamoDB, and S3.
7AA116;Storage;Amazon;Elastic Block Store;EBS;Elastic-Block-Store;Provides persistent block storage for EC2 instances, like an external hard drive.
7AA116;Storage;Amazon;Elastic File System;EFS;EFS;A scalable, fully managed file storage system for Linux-based applications.
7AA116;Storage;AWS;Elastic Disaster Recovery;DRS;Elastic-Disaster-Recovery;Helps recover on-premises or AWS workloads in case of outages.
7AA116;Storage;Amazon;FSx;;FSx;Managed file storage for Windows File Server, Lustre, NetApp ONTAP, and OpenZFS.
7AA116;Storage;Amazon;Simple Storage Service;S3;S3;Scalable object storage for storing and retrieving data from anywhere.
7AA116;Storage;Amazon;S3 Glacier;;S3-Glacier;Low-cost, long-term archival storage with retrieval options from minutes to hours.
7AA116;Storage;AWS;Storage Gateway;;Storage-Gateway;A hybrid storage service that connects on-premises environments to AWS cloud storage.
