type;amazon;title;abb;file-name;description
Security, Identity, and Compliance;AWS;Firewall Manager;;Firewall-Manager;Centralized management of AWS WAF, AWS Shield, and network firewalls across multiple accounts.
Security, Identity, and Compliance;Amazon;GuardDuty;;GuardDuty;A threat detection service that continuously monitors AWS accounts for malicious activity.
Security, Identity, and Compliance;AWS;Identity and Access Management;IAM;Identity-and-Access-Management;Manages user roles, permissions, and access controls for AWS resources.
Security, Identity, and Compliance;AWS;IAM Identity Center (AWS;;IAM-Identity-Center-(AWS;Provides centralized single sign-on (SSO) access to AWS accounts and applications.
Security, Identity, and Compliance;Amazon;Inspector;;Inspector;Automated security assessments to detect vulnerabilities and compliance risks in EC2 and container workloads.
Security, Identity, and Compliance;AWS;Key Management Service;KMS;Key-Management-Service;Securely creates, manages, and controls cryptographic keys for AWS services.
Security, Identity, and Compliance;Amazon;Macie;;Macie;Uses machine learning to detect and protect sensitive data (e.g., PII) stored in Amazon S3.
Security, Identity, and Compliance;AWS;Network Firewall;;Network-Firewall;A stateful, managed firewall service for inspecting and filtering VPC network traffic.
Security, Identity, and Compliance;AWS;Resource Access Manager (AWS;RAM;Resource-Access-Manager-(AWS;Enables organizations to share AWS resources securely across accounts.
Security, Identity, and Compliance;AWS;Secrets Manager;;Secrets-Manager;Securely stores and rotates database credentials, API keys, and other secrets.
Security, Identity, and Compliance;AWS;Security Hub;;Security-Hub;Aggregates security findings from AWS services and third-party tools to provide compliance insights.
Security, Identity, and Compliance;AWS;Shield;;Shield;A DDoS protection service that safeguards AWS applications from large-scale attacks.
Security, Identity, and Compliance;AWS;Web Application Firewall;WAF;Web-Application-Firewall;Protects web applications from common web exploits like SQL injection and cross-site scripting (XSS).
Serverless;AWS;Fargate;;Fargate;A serverless compute engine for containers, running workloads without managing EC2 instances.
Serverless;AWS;Lambda;;Lambda;Executes event-driven, serverless functions that automatically scale with demand.
Storage;AWS;Backup;;Backup;Automates backup management across AWS services like EBS, RDS, DynamoDB, and S3.
Storage;Amazon;Elastic Block Store;EBS;Elastic-Block-Store;Provides persistent block storage for EC2 instances, like an external hard drive.
Storage;Amazon;Elastic File System;EFS;Elastic-File-System;A scalable, fully managed file storage system for Linux-based applications.
Storage;AWS;Elastic Disaster Recovery;DRS;Elastic-Disaster-Recovery;Helps recover on-premises or AWS workloads in case of outages.
Storage;Amazon;FSx;;FSx;Managed file storage for Windows File Server, Lustre, NetApp ONTAP, and OpenZFS.
Storage;Amazon;Simple Storage Service;S3;Simple-Storage-Service;Scalable object storage for storing and retrieving data from anywhere.
Storage;Amazon;S3 Glacier;;S3-Glacier;Low-cost, long-term archival storage with retrieval options from minutes to hours.
Storage;AWS;Storage Gateway;;Storage-Gateway;A hybrid storage service that connects on-premises environments to AWS cloud storage.
